"Status","Name","Duration in ms","Description"
"passed","8-频道 个人点播跳转.视频播放-艺人空间动态pvs-字段","4","视频播放-艺人空间动态pvs-字段"
"failed","1-点播.点击踩pfc-字段值","4","点击踩pfc-字段值"
"failed","Vip主页.order-字段","2","order-字段"
"failed","Vip直播.result-字段","1","result-字段"
"failed","2播单-有广告.切换下一个视频pvs-字段值","4","切换下一个视频pvs-字段值"
"failed","12-推荐列表页行为上报.推荐列表关注用户ccfollowu-字段","2","推荐列表关注用户ccfollowu-字段"
"failed","付费影片.order-条数","2","order-条数"
"passed","8-频道 个人点播跳转.艺人空间动态-视频播放pvs-字段","4","艺人空间动态-视频播放pvs-字段"
"passed","21-关注 2.添加关注页pvs-条数","20392","5.7.0短视频之后版本

添加关注页pvs-条数"
"failed","07电视剧-中间页.中间页点击click-字段","2","中间页点击click-字段"
"failed","94-HB.点播180hb-字段值","400","点播180hb-字段值"
"failed","付费影片.点支付dialogpv-字段名","2","点支付dialogpv-字段名"
"passed","2播单-有广告.广告type1-条数","351","广告type1-条数"
"failed","1综艺片库.内地变为全部list-条数","2","内地变为全部list-条数"
"failed","07电视剧-中间页.中间页点击pvs-字段值","2","中间页点击pvs-字段值"
"failed","8-频道 个人点播跳转.cdn1-字段","4","cdn1-字段"
"failed","11艺人搜（加）.有空间艺人空间click-条数","2","电影搜索

有空间艺人空间click-条数"
"passed","5-直播 1.电视播放pvs-条数","38672","电视播放pvs-条数"
"failed","付费影片.播放入口buy-字段名","2","播放入口buy-字段名"
"failed","7会员片库.VIP用户播放buffer-条数","1","VIP用户播放buffer-条数"
"failed","4动漫片库.点剧场版的全部list-条数","2","点剧场版的全部list-条数"
"failed","8-频道 个人点播跳转.视频播放-艺人空间动态pvs-条数","5890","视频播放-艺人空间动态pvs-条数"
"failed","11艺人搜（加）.搜索结果返回首页pvs-字段","1","电影搜索

搜索结果返回首页pvs-字段"
"failed","01仍然搜.综艺合集click-字段值","4","综艺合集click-字段值"
"failed","11-推荐列表页大数据上报&Cdn上报.列表页点击播放cdn2-条数","2","列表页点击播放cdn2-条数"
"failed","08直播.直播搜索search-条数","2","直播搜索search-条数"
"passed","01仍然搜.综艺合集click-条数","117104","综艺合集click-条数"
